MO,DY,HR,ALLSKY_SFC_SW_DWN,SZA
1,20,8,118.17,71.7
1,20,9,183.01,63.2
1,20,10,276.97,57.04
1,20,11,384.72,54.04
1,20,12,221.12,54.73
1,20,13,201.5,58.98
1,20,14,151.22,66.1
1,20,15,86.1,75.26
1,20,16,19.01,85.71
1,20,17,0,-999
1,20,18,0,-999
1,20,19,0,-999
1,20,20,0,-999
1,20,21,0,-999
1,20,22,0,-999
1,20,23,0,-999
1,21,0,0,-999
1,21,1,0,-999
1,21,2,0,-999
1,21,3,0,-999
1,21,4,0,-999
1,21,5,0,-999
1,21,6,0,-999
1,21,7,52.28,81.35
1,21,8,150.13,71.59
1,21,9,254.1,63.05
1,21,10,359.95,56.86
1,21,11,338.71,53.83
1,21,12,352.07,54.5
1,21,13,300.04,58.75
1,21,14,235.24,65.88
1,21,15,117.23,75.06
1,21,16,21.93,85.54
1,21,17,0,-999
1,21,18,0,-999
1,21,19,0,-999
1,21,20,0,-999
1,21,21,0,-999
1,21,22,0,-999
1,21,23,0,-999
1,22,0,0,-999
1,22,1,0,-999
1,22,2,0,-999
1,22,3,0,-999
1,22,4,0,-999
1,22,5,0,-999
1,22,6,0,-999
1,22,7,65.7,81.23
1,22,8,189.3,71.47
1,22,9,341.1,62.91
1,22,10,459.69,56.67
1,22,11,552.83,53.61
1,22,12,436.36,54.27
1,22,13,416.02,58.52
1,22,14,295.68,65.66
1,22,15,156.64,74.85
1,22,16,36.27,85.37
1,22,17,0,-999
1,22,18,0,-999
1,22,19,0,-999
1,22,20,0,-999
1,22,21,0,-999
1,22,22,0,-999
1,22,23,0,-999
1,23,0,0,-999
1,23,1,0,-999
1,23,2,0,-999
1,23,3,0,-999
1,23,4,0,-999
1,23,5,0,-999
1,23,6,0,-999
1,23,7,86.14,81.12
1,23,8,187.55,71.34
1,23,9,293.12,62.75
1,23,10,381.03,56.48
1,23,11,406.25,53.39
1,23,12,331.42,54.03
1,23,13,298.29,58.29
1,23,14,212.05,65.44
1,23,15,107.07,74.65
1,23,16,21.37,85.2
1,23,17,0,-999
1,23,18,0,-999
1,23,19,0,-999
1,23,20,0,-999
1,23,21,0,-999
1,23,22,0,-999
1,23,23,0,-999
1,24,0,0,-999
1,24,1,0,-999
1,24,2,0,-999
1,24,3,0,-999
1,24,4,0,-999
1,24,5,0,-999
1,24,6,0,-999
1,24,7,61.04,80.98
1,24,8,181.25,71.21
1,24,9,297.77,62.58
1,24,10,407.36,56.28
1,24,11,480.16,53.16
1,24,12,467.81,53.79
1,24,13,439.77,58.05
1,24,14,305.66,65.22
1,24,15,171.95,74.44
1,24,16,37.89,85.02
1,24,17,0,-999
1,24,18,0,-999
1,24,19,0,-999
1,24,20,0,-999
1,24,21,0,-999
1,24,22,0,-999
1,24,23,0,-999
1,25,0,0,-999
1,25,1,0,-999
1,25,2,0,-999
1,25,3,0,-999
1,25,4,0,-999
1,25,5,0,-999
1,25,6,0,-999
1,25,7,121.53,80.84
1,25,8,299.64,71.07
1,25,9,460.93,62.41
1,25,10,576.9,56.07
1,25,11,640.41,52.93
1,25,12,632.24,53.55
1,25,13,559.04,57.8
1,25,14,426.86,64.98
1,25,15,248.19,74.23
1,25,16,61.85,84.83
1,25,17,0,-999
1,25,18,0,-999
1,25,19,0,-999
1,25,20,0,-999
1,25,21,0,-999
1,25,22,0,-999
1,25,23,0,-999
1,26,0,0,-999
1,26,1,0,-999
1,26,2,0,-999
1,26,3,0,-999
1,26,4,0,-999
1,26,5,0,-999
1,26,6,0,-999
1,26,7,125.67,80.7
1,26,8,305.2,70.93
1,26,9,469.39,62.23
1,26,10,576.59,55.86
1,26,11,641.97,52.69
1,26,12,620.23,53.29
1,26,13,560.45,57.55
1,26,14,427.35,64.76
1,26,15,251.59,74.02
1,26,16,64.17,84.64
1,26,17,0,-999
1,26,18,0,-999
1,26,19,0,-999
1,26,20,0,-999
1,26,21,0,-999
1,26,22,0,-999
1,26,23,0,-999
1,27,0,0,-999
1,27,1,0,-999
1,27,2,0,-999
1,27,3,0,-999
1,27,4,0,-999
1,27,5,0,-999
1,27,6,0,-999
1,27,7,90.01,80.55
1,27,8,226.77,70.78
1,27,9,383.98,62.05
1,27,10,500.79,55.64
1,27,11,532.53,52.44
1,27,12,541.09,53.03
1,27,13,466.31,57.3
1,27,14,324.2,64.52
1,27,15,192.41,73.8
1,27,16,45.2,84.45
1,27,17,0,-999
1,27,18,0,-999
1,27,19,0,-999
1,27,20,0,-999
1,27,21,0,-999
1,27,22,0,-999
1,27,23,0,-999
1,28,0,0,-999
1,28,1,0,-999
1,28,2,0,-999
1,28,3,0,-999
1,28,4,0,-999
1,28,5,0,-999
1,28,6,0,-999
1,28,7,98.27,80.38
1,28,8,244.39,70.62
1,28,9,378.2,61.86
1,28,10,523.59,55.41
1,28,11,549.41,52.19
1,28,12,594.66,52.77
1,28,13,492.62,57.05
1,28,14,349.05,64.28
1,28,15,173.52,73.59
1,28,16,36.8,84.25
1,28,17,0,-999
1,28,18,0,-999
1,28,19,0,-999
1,28,20,0,-999
1,28,21,0,-999
1,28,22,0,-999
1,28,23,0,-999
1,29,0,0,-999
1,29,1,0,-999
1,29,2,0,-999
1,29,3,0,-999
1,29,4,0,-999
1,29,5,0,-999
1,29,6,7.28,89.41
1,29,7,100.31,80.8
1,29,8,188.06,70.46
1,29,9,303.45,61.66
1,29,10,349.94,55.19
1,29,11,429.14,51.93
1,29,12,365.44,52.51
1,29,13,356.42,56.8
1,29,14,254.13,64.05
1,29,15,141.9,73.37
1,29,16,34.98,84.05
1,29,17,0,-999
1,29,18,0,-999
1,29,19,0,-999
1,29,20,0,-999
1,29,21,0,-999
1,29,22,0,-999
1,29,23,0,-999
1,30,0,0,-999
1,30,1,0,-999
1,30,2,0,-999
1,30,3,0,-999
1,30,4,0,-999
1,30,5,0,-999
1,30,6,7.08,89.38
1,30,7,53.8,80.66
1,30,8,113.59,70.29
1,30,9,199.07,61.46
1,30,10,216.49,54.95
1,30,11,424.54,51.66
1,30,12,319.63,52.23
1,30,13,251.29,56.53
1,30,14,168.52,63.8
1,30,15,83.58,73.15
1,30,16,28.27,83.84
1,30,17,0,-999
1,30,18,0,-999
1,30,19,0,-999
1,30,20,0,-999
1,30,21,0,-999
1,30,22,0,-999
1,30,23,0,-999
1,31,0,0,-999
1,31,1,0,-999
1,31,2,0,-999
1,31,3,0,-999
1,31,4,0,-999
1,31,5,0,-999
1,31,6,6.54,89.33
1,31,7,73.49,80.52
1,31,8,206.83,70.12
1,31,9,310.02,61.25
1,31,10,432.08,54.7
1,31,11,477.62,51.4
1,31,12,515.1,51.95
1,31,13,492.7,56.27
1,31,14,372.47,63.56
1,31,15,215.11,72.93
1,31,16,54.49,83.63
1,31,17,0,-999
1,31,18,0,-999
1,31,19,0,-999
1,31,20,0,-999
1,31,21,0,-999
1,31,22,0,-999
1,31,23,0,-999
2,1,0,0,-999
2,1,1,0,-999
2,1,2,0,-999
2,1,3,0,-999
2,1,4,0,-999
2,1,5,0,-999
2,1,6,7.82,89.28
2,1,7,100.3,80.37
2,1,8,144.73,69.94
2,1,9,237.88,61.04
2,1,10,276.45,54.46
2,1,11,372.24,51.12
2,1,12,434.2,51.67
2,1,13,326.85,56
2,1,14,258.33,63.31
2,1,15,147.69,72.7
2,1,16,48.79,83.41
2,1,17,0,-999
2,1,18,0,-999
2,1,19,0,-999
2,1,20,0,-999
2,1,21,0,-999
2,1,22,0,-999
2,1,23,0,-999
2,2,0,0,-999
2,2,1,0,-999
2,2,2,0,-999
2,2,3,0,-999
2,2,4,0,-999
2,2,5,0,-999
2,2,6,8.19,89.23
2,2,7,121.42,80.21
2,2,8,305.51,69.75
2,2,9,461.3,60.82
2,2,10,589.12,54.2
2,2,11,616.06,50.84
2,2,12,558.98,51.39
2,2,13,517.42,55.73
2,2,14,381.59,63.06
2,2,15,220.36,72.48
2,2,16,62.39,83.2
2,2,17,0,-999
2,2,18,0,-999
2,2,19,0,-999
2,2,20,0,-999
2,2,21,0,-999
2,2,22,0,-999
2,2,23,0,-999
2,3,0,0,-999
2,3,1,0,-999
2,3,2,0,-999
2,3,3,0,-999
2,3,4,0,-999
2,3,5,0,-999
2,3,6,7.56,89.18
2,3,7,97.67,80.05
2,3,8,257.39,69.56
2,3,9,445.8,60.59
2,3,10,540.16,53.95
2,3,11,580.41,50.55
2,3,12,551.67,51.1
2,3,13,490.62,55.45
2,3,14,363.98,62.82
2,3,15,205.85,72.26
2,3,16,60,82.98
2,3,17,0,-999
2,3,18,0,-999
2,3,19,0,-999
2,3,20,0,-999
2,3,21,0,-999
2,3,22,0,-999
2,3,23,0,-999
2,4,0,0,-999
2,4,1,0,-999
2,4,2,0,-999
2,4,3,0,-999
2,4,4,0,-999
2,4,5,0,-999
2,4,6,7.98,89.12
2,4,7,110.31,79.88
2,4,8,235.21,69.37
2,4,9,369.12,60.37
2,4,10,441.47,53.68
2,4,11,496.05,50.27
2,4,12,396.98,50.8
2,4,13,290.16,55.17
2,4,14,176.89,62.56
2,4,15,105.3,72.04
2,4,16,35.02,82.76
2,4,17,0,-999
2,4,18,0,-999
2,4,19,0,-999
2,4,20,0,-999
2,4,21,0,-999
2,4,22,0,-999
2,4,23,0,-999
2,5,0,0,-999
2,5,1,0,-999
2,5,2,0,-999
2,5,3,0,-999
2,5,4,0,-999
2,5,5,0,-999
2,5,6,7.12,89.06
2,5,7,105.09,79.7
2,5,8,298.33,69.16
2,5,9,473.08,60.12
2,5,10,580.62,53.41
2,5,11,638.41,49.98
2,5,12,602.9,50.51
2,5,13,570.01,54.89
2,5,14,457.34,62.31
2,5,15,277.64,71.81
2,5,16,83.95,82.53
2,5,17,0,-999
2,5,18,0,-999
2,5,19,0,-999
2,5,20,0,-999
2,5,21,0,-999
2,5,22,0,-999
2,5,23,0,-999
2,6,0,0,-999
2,6,1,0,-999
2,6,2,0,-999
2,6,3,0,-999
2,6,4,0,-999
2,6,5,0,-999
2,6,6,9.49,88.99
2,6,7,138.58,79.52
2,6,8,335.53,68.96
2,6,9,502.18,59.89
2,6,10,620.11,53.13
2,6,11,682.5,49.67
2,6,12,677.02,50.2
2,6,13,588.38,54.61
2,6,14,420.75,62.05
2,6,15,233.76,71.59
2,6,16,66.03,82.3
2,6,17,0,-999
2,6,18,0,-999
2,6,19,0,-999
2,6,20,0,-999
2,6,21,0,-999
2,6,22,0,-999
2,6,23,0,-999
2,7,0,0,-999
2,7,1,0,-999
2,7,2,0,-999
2,7,3,0,-999
2,7,4,0,-999
2,7,5,0,-999
2,7,6,6.69,88.92
2,7,7,43.51,79.34
2,7,8,78.88,68.74
2,7,9,126.56,59.64
2,7,10,144.06,52.85
2,7,11,177.39,49.37
2,7,12,217.59,49.9
2,7,13,225.42,54.33
2,7,14,175.32,61.8
2,7,15,104.73,71.36
2,7,16,25.3,82.06
2,7,17,0,-999
2,7,18,0,-999
2,7,19,0,-999
2,7,20,0,-999
2,7,21,0,-999
2,7,22,0,-999
2,7,23,0,-999
2,8,0,0,-999
2,8,1,0,-999
2,8,2,0,-999
2,8,3,0,-999
2,8,4,0,-999
2,8,5,0,-999
2,8,6,8.84,88.85
2,8,7,68.4,79.16
2,8,8,142.65,68.53
2,8,9,240.91,59.39
2,8,10,303.16,52.57
2,8,11,276.51,49.06
2,8,12,300,49.59
2,8,13,310.2,54.04
2,8,14,240.17,61.55
2,8,15,142.38,71.13
2,8,16,35.48,81.83
2,8,17,0,-999
2,8,18,0,-999
2,8,19,0,-999
2,8,20,0,-999
2,8,21,0,-999
2,8,22,0,-999
2,8,23,0,-999
2,9,0,0,-999
2,9,1,0,-999
2,9,2,0,-999
2,9,3,0,-999
2,9,4,0,-999
2,9,5,0,-999
2,9,6,7.94,88.77
2,9,7,93.42,78.96
2,9,8,194.2,68.3
2,9,9,323.37,59.13
2,9,10,385.48,52.27
2,9,11,417.92,48.75
2,9,12,378.84,49.27
2,9,13,330.86,53.75
2,9,14,271.52,61.29
2,9,15,161.13,70.91
2,9,16,46.09,81.59
2,9,17,0,-999
2,9,18,0,-999
2,9,19,0,-999
2,9,20,0,-999
2,9,21,0,-999
2,9,22,0,-999
2,9,23,0,-999
2,10,0,0,-999
2,10,1,0,-999
2,10,2,0,-999
2,10,3,0,-999
2,10,4,0,-999
2,10,5,0,-999
2,10,6,8.41,88.69
2,10,7,74.96,78.77
2,10,8,126.58,68.08
2,10,9,254.53,58.88
2,10,10,335.28,51.98
